name,coordinate
LS1SB,"21.499,-158.025"
LS2SB,"21.499,-158.027"
LS3SB,"21.498,-158.030"
LS4SB,"21.460,-158.015"
SS1SB,"21.4941834,-158.0341899"
SS2SB,"21.4968216,-158.030698"
SS3SB,"21.4947401,-158.0287661"
SC1SB,"21.4962625,-158.029193"
QL1SB,"21.4951011,-158.0295884"
QL2SB,"21.4954614,-158.029559"
G1SB,"21.498243,-158.030475"
G2SB,"21.4986142,-158.0283077"
G3SB,"21.4970524,-158.0305823"
G4SB,"21.496541,-158.025177"
G5SB,"21.4960674,-158.0292272"
G6SB,"21.4956497,-158.0306933"
G7SB,"21.494392,-158.029071"
P1SB,"21.5006241,-158.016672"
P2SB,"21.4983135,-158.0240957"
P3SB,"21.492404,-158.025568"
HC1SB,"21.498912,-158.02481"
HC2SB,"21.498143,-158.026971"
HC3SB,"21.4956497,-158.0306933"
HC4SB,"21.5006241,-158.016672"
HC5SB,"21.502524,-158.000387"
